
CAPPROD mensa                                                            capprod2         BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 18:31:17 18:34:28       17,22      17,22 SBT_TAPE                    3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          


taubate PHOENIX                                                          cnhprod          BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 06:04:19 06:05:32         ,55        1,6 DISK                        1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
taubate PHOENIX                                                          cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:04:13 06:04:15           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
taubate PHOENIX                                                          cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:04:12 06:04:13         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
taubate PHOENIX                                                          cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:04:10 06:04:12         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
taubate PHOENIX                                                          cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:03 06:04:10        1,86       6,43 DISK                        4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          


saocarlos ABNSCASRV01                                                      cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:08:11 06:08:13           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
saocarlos ABNSCASRV01                                                      cnhprod          BACKUP                            ARCHIVELOG    WARNINGS                07/05/2017 07/05/2017 06:06:08 06:08:11         ,65       1,98 DISK                        2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
saocarlos ABNSCASRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:06:06 06:06:08         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
saocarlos ABNSCASRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:06:04 06:06:05         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
saocarlos ABNSCASRV01                                                      cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:04 06:06:03        1,92       9,33 DISK                        6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        


sbernado ABNSBSRV01                                                       cnhprod          BACKUP                            ARCHIVELOG    FAILED                  07/05/2017 07/05/2017 06:07:50 06:07:50           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
sbernado ABNSBSRV01                                                       cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:07:44 06:07:46           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
sbernado ABNSBSRV01                                                       cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:07:42 06:07:44         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
sbernado ABNSBSRV01                                                       cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:07:41 06:07:42         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
sbernado ABNSBSRV01                                                       cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:03 06:07:41         3,1      14,04 DISK                        8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         


botucatu VLDBOTSRV01                                                      cnhprod          BACKUP                            ARCHIVELOG    FAILED                  07/05/2017 07/05/2017 06:04:16 06:04:20           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
botucatu VLDBOTSRV01                                                      cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:04:05 06:04:08           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
botucatu VLDBOTSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:04:04 06:04:05         ,02        ,02 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
botucatu VLDBOTSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:04:02 06:04:04         ,02        ,02 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
botucatu VLDBOTSRV01                                                      cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:04 06:04:02        1,54       9,36 DISK                        4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         


franca ABNFCASRV01                                                      cnhprod          BACKUP                            ARCHIVELOG    FAILED                  07/05/2017 07/05/2017 06:05:03 06:05:03           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
franca ABNFCASRV01                                                      cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:04:54 06:04:56           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
franca ABNFCASRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:04:52 06:04:54         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
franca ABNFCASRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:04:51 06:04:52         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
franca ABNFCASRV01                                                      cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:04 06:04:51        1,92       9,31 DISK                        5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           


interlagos CENTAURUS                                                        cnhprod          BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 06:06:51 06:08:00         ,45       1,37 DISK                        1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
interlagos CENTAURUS                                                        cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:06:34 06:06:36           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
interlagos CENTAURUS                                                        cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:06:33 06:06:34         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
interlagos CENTAURUS                                                        cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:06:32 06:06:33         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
interlagos CENTAURUS                                                        cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:04 06:06:32        2,45      26,43 DISK                        6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       


piracicaba ABNPCSRV01                                                       cnhprod          BACKUP                            ARCHIVELOG    FAILED                  07/05/2017 07/05/2017 06:04:45 06:04:46           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
piracicaba ABNPCSRV01                                                       cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:04:42 06:04:44           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
piracicaba ABNPCSRV01                                                       cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:04:40 06:04:42         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
piracicaba ABNPCSRV01                                                       cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:04:39 06:04:40         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
piracicaba ABNPCSRV01                                                       cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:02 06:04:39        2,05       7,14 DISK                        5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       


pprudente CORVUS                                                           cnhprod          BACKUP                            ARCHIVELOG    FAILED                  07/05/2017 07/05/2017 14:09:09 14:09:09           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
pprudente CORVUS                                                           cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 14:09:06 14:09:08           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
pprudente CORVUS                                                           cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 14:09:05 14:09:06         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
pprudente CORVUS                                                           cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 14:09:03 14:09:05         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
pprudente CORVUS                                                           cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 14:00:05 14:09:03        2,49      11,44 DISK                        9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        


rioclaro VLDRCLSRV01                                                      cnhprod          BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 06:04:39 06:07:18        1,13       3,41 DISK                        3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
rioclaro VLDRCLSRV01                                                      cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:04:33 06:04:35           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
rioclaro VLDRCLSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:04:31 06:04:33         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
rioclaro VLDRCLSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:04:30 06:04:31         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
rioclaro VLDRCLSRV01                                                      cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:02 06:04:30        1,75       8,31 DISK                        4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
